Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power,Day_Night
2017-01-23 00:00:00,-0.8303750473145289,0.8792959969239951,-0.5490805668201417,-0.0699094309246427,-0.0616785030138452,1.131311737983342,1.1661705346142863,-0.0640797023952564,0.2503,night
2017-01-23 01:00:00,-0.8259406173914914,0.7673500246123715,-0.5627785301540237,-0.2785175929020985,-0.295105960501423,1.131311737983342,1.1661705346142863,-0.2825948862724179,0.2248,night
2017-01-23 02:00:00,-0.8348094772375664,0.8233230107681833,-0.5719105057099451,-0.6472203908157407,-0.5515473926708748,1.1018486788242836,1.1759618167072892,-0.5011100701495791,0.1993,night
2017-01-23 03:00:00,-0.8481127670066786,0.8792959969239951,-0.5673445179319843,-0.7345447376900244,-0.6008630527034617,0.9643544027486788,1.048675149498255,-0.8561972439499661,0.1738,night
2017-01-23 04:00:00,-0.8481127670066786,0.935268983079807,-0.5536465545981023,-0.5356392809208226,-0.4463406512680227,0.8956072647108761,0.9703448927542336,-0.8015684479806757,0.1484,night
2017-01-23 05:00:00,-0.8348094772375664,0.935268983079807,-0.5353826034862597,-0.5501933387332031,-0.4529160726057011,1.1214907182636558,1.1367966883352785,-0.6376820600728049,0.1301,night
2017-01-23 18:00:00,-0.7594241685459299,0.935268983079807,-0.4577608112609282,-1.2973016397687414,-1.5970393853617162,-1.353406251097235,-1.4481017842174204,-1.4024852036428692,0.0482,night
2017-01-23 19:00:00,-0.7594241685459299,0.8792959969239951,-0.4714587745948103,-1.5786800908080998,-1.488544933290025,-1.3632272708169209,-1.3599802453803966,-1.7029435814739655,0.0466,night
2017-01-23 20:00:00,-0.7904651780071921,1.0472149553914307,-0.4714587745948103,-1.4282881600801671,-1.2123772371075388,-1.3239431919381766,-1.2522761423573676,-1.6210003875200305,0.0449,night
2017-01-23 21:00:00,-0.8037684677763042,1.0472149553914307,-0.4760247623727708,-1.4428422178925473,-1.2090895264386996,-1.1962699355822577,-1.1445720393343384,-1.5936859895353854,0.0433,night
2017-01-23 22:00:00,-0.8303750473145289,1.1591609277030543,-0.4805907501507316,-1.3749232814347714,-1.166349287743791,-1.0685966792263386,-1.0074940900323013,-1.5936859895353854,0.0417,night
2017-01-23 23:00:00,-0.7993340378532668,0.935268983079807,-0.4988547012625742,-0.8897880210220842,-0.7685362968142571,-1.0096705609082222,-0.987911525846296,-1.1020268258117727,0.0401,night
2017-01-24 00:00:00,-0.8436783370836413,1.1031879415472423,-0.5079866768184955,-1.350666518414137,-1.0578548356720998,-0.8819973045523032,-0.8802074228232669,-1.1020268258117727,0.0384,night
2017-01-24 01:00:00,-0.8303750473145289,1.0472149553914307,-0.5125526645964563,-1.083842125187159,-0.9592235156069262,-1.0293126003475943,-0.958537679567288,-1.2659132137196434,0.0368,night
2017-01-24 02:00:00,-0.8702849166218657,1.2151339138588662,-0.5125526645964563,-1.1808691772696964,-0.9625112262757654,-0.999849541188536,-0.9683289616602908,-1.2659132137196434,0.0352,night
2017-01-24 03:00:00,-0.9101947859292028,1.3830528723263016,-0.517118652374417,-1.0789907725830323,-0.8047011141714875,-1.0784176989460246,-1.0270766542183067,-1.2385988157349983,0.0336,night
2017-01-24 04:00:00,-0.9057603560061652,1.3270798861704898,-0.5216846401523776,-0.8849366684179575,-0.7060697941063135,-1.0784176989460246,-1.0270766542183067,-1.1020268258117727,0.0319,night
2017-01-24 05:00:00,-0.9057603560061652,1.3270798861704898,-0.5262506279303383,-0.5793014543579644,-0.4068881232419535,-1.1177017778247689,-1.0662417825903172,-0.8015684479806757,0.0631,night
2017-01-24 18:00:00,-0.8037684677763042,1.3830528723263016,-0.4121009334813215,1.1235233096905677,1.1153219164305608,-1.2355540144610018,-1.2229022960783595,0.891924227067324,0.893,night
2017-01-24 19:00:00,-0.7904651780071921,1.3270798861704898,-0.4121009334813215,0.8955097372966042,0.8424419309169136,-1.1668068764231994,-1.1445720393343384,0.9192386250519692,0.8976,night
2017-01-24 20:00:00,-0.7904651780071921,1.3270798861704898,-0.4075349457033608,0.8566989164635892,0.8490173522545922,-1.2060909553019437,-1.1739458856133465,0.6734090431901626,0.9022,night
2017-01-24 21:00:00,-0.7860307480841545,1.3830528723263016,-0.3938369823694787,0.8421448586512089,0.8457296415857526,-1.2257329947413158,-1.1935284497993517,0.8099810331133883,0.9067,night
2017-01-24 22:00:00,-0.7815963181611171,1.3830528723263016,-0.3847050068135574,0.5268069393829622,0.507095442695323,-1.3239431919381766,-1.2816499886363757,0.6187802472208724,0.9113,night
2017-01-24 23:00:00,-0.7860307480841545,1.3830528723263016,-0.3892709945915181,0.6141312862572457,0.5860004987474621,-1.3730482905366068,-1.3306063991013888,0.427579461328356,0.9159,night
2017-01-25 00:00:00,-0.7993340378532668,1.4390258584821134,-0.3892709945915181,0.2308744305312228,0.2243523251751585,-1.4712584877334676,-1.4187279379384126,0.427579461328356,0.9204,night
2017-01-25 01:00:00,-0.8259406173914914,1.4949988446379254,-0.4029689579254002,0.109590615428051,0.1191455837723064,-1.6578578624075029,-1.59497101561246,0.0451778895433242,0.925,night
2017-01-25 02:00:00,-0.8126373276223792,1.4390258584821134,-0.4075349457033608,0.5219555867788354,0.5103831533641621,-1.7266050004453055,-1.683092554449484,0.2910074714051303,0.9296,night
2017-01-25 03:00:00,-0.8082028976993417,1.4390258584821134,-0.3984029701474395,0.4976988237582011,0.4512043613250579,-1.8248151976421665,-1.7810053753795103,0.3456362673744209,0.9341,night
2017-01-25 04:00:00,-0.8259406173914914,1.3830528723263016,-0.4257988968152035,0.6723475175067681,0.612302184098175,-1.8640992765209103,-1.820170503751521,0.400265063343711,0.9387,night
2017-01-25 05:00:00,-0.8348094772375664,1.3830528723263016,-0.4394968601490854,0.8615502690677165,0.8227156669038792,-1.8837413159602827,-1.849544350030529,0.5914658492362274,0.9381,night
2017-01-25 18:00:00,-1.0166211040821012,0.9912419692356188,-0.7043241512708045,1.0216449050039031,1.0462799923849395,1.268806014058947,1.2836659197303182,1.055810614975195,0.913,night
2017-01-25 19:00:00,-1.025489963928176,0.9912419692356188,-0.7180221146046866,0.9828340841708882,1.0462799923849395,1.2589849943392608,1.2836659197303182,0.7826666351287432,0.9059,night
2017-01-25 20:00:00,-1.0210555340051386,0.935268983079807,-0.7180221146046866,0.8469962112553358,0.9114838549625354,1.268806014058947,1.2934572018233208,0.7280378391594532,0.8989,night
2017-01-25 21:00:00,-1.0210555340051386,0.9912419692356188,-0.7180221146046866,0.648090754486134,0.7076457934945094,1.2197009154605165,1.2542920734513103,0.6187802472208724,0.8918,night
2017-01-25 22:00:00,-1.0210555340051386,0.9912419692356188,-0.7088901390487652,0.6820502227150221,0.6977826614879922,1.2197009154605165,1.2347095092653049,0.4548938593130016,0.8847,night
2017-01-25 23:00:00,-1.0299243938512137,0.9912419692356188,-0.7225881023826473,0.7111583383397831,0.714221214832188,1.1902378563014584,1.2151269450792996,0.5095226552822917,0.8777,night
2017-01-26 00:00:00,-1.047662113543363,0.935268983079807,-0.7499840290504112,0.71600969094391,0.7503860321894182,1.150953777422714,1.1759618167072892,0.5095226552822917,0.8706,night
2017-01-26 01:00:00,-1.0609654033124754,0.935268983079807,-0.7636819923842932,0.71600969094391,0.7306597681763833,1.141132757703028,1.1661705346142863,0.5095226552822917,0.8636,night
2017-01-26 02:00:00,-1.0698342631585502,0.935268983079807,-0.7728139679402145,0.7499691591727982,0.7306597681763833,1.150953777422714,1.1661705346142863,0.5368370532669368,0.8565,night
2017-01-26 03:00:00,-1.1141785623889249,0.9912419692356188,-0.8139078579418607,0.686901575319149,0.7997016922220053,1.131311737983342,1.1563792525212837,0.5368370532669368,0.8495,night
2017-01-26 04:00:00,-1.1097441324658872,0.8792959969239951,-0.8276058212757426,0.686901575319149,0.7306597681763833,1.131311737983342,1.1563792525212837,0.5095226552822917,0.8424,night
2017-01-26 05:00:00,-1.127481852158037,0.935268983079807,-0.836737796831664,0.686901575319149,0.7306597681763833,1.131311737983342,1.1563792525212837,0.4548938593130016,0.8308,night
2017-01-26 18:00:00,-1.180695011234486,0.8233230107681833,-0.9097936012790347,0.2599825461559843,0.0928438984215934,0.8268601266730736,0.843058225545199,0.3729506653590659,0.7528,night
2017-01-26 19:00:00,-1.229473740387898,0.7673500246123715,-0.9691514423925236,0.5801718180283578,0.3953132799547929,0.8661442055518179,0.872432071824207,0.3183218693897758,0.741,night
2017-01-26 20:00:00,-1.291555759310422,0.7673500246123715,-1.0422072468398942,0.7063069857356564,0.5432602600525532,0.9152493041502484,0.9213884822892202,0.5095226552822917,0.7292,night
2017-01-26 21:00:00,-1.300424619156497,0.6554040523007477,-1.0787351490635797,0.3376041878220143,0.3328467772468496,0.9447123633093064,0.9605536106612308,0.5095226552822917,0.7173,night
2017-01-26 22:00:00,-1.2871213293873849,0.7113770384565596,-1.0467732346178549,0.0659284419909092,0.082980766415076,0.8366811463927597,0.8626407897312044,0.1271210834972594,0.7055,night
2017-01-26 23:00:00,-1.2959901892334595,0.7673500246123715,-1.0376412590619335,-0.1523824251948,-0.0912678990333976,0.7973970675140154,0.8136843792661911,-0.0913941003799017,0.6937,night
2017-01-27 00:00:00,-1.309293479002572,0.8792959969239951,-1.0330752712839728,-0.2348554194649565,-0.1635975337478582,0.8268601266730736,0.8528495076382017,-0.309909284257063,0.6819,night
2017-01-27 01:00:00,-1.300424619156497,0.935268983079807,-1.0148113201721305,0.2211717253229693,0.188187507817928,1.023280521066795,1.0290925853122497,-0.0094509064259663,0.67,night
2017-01-27 02:00:00,-1.313727908925609,0.8792959969239951,-1.0330752712839728,0.2163203727188425,0.2243523251751585,1.1018486788242836,1.127005406242276,0.0178634915586787,0.6582,night
2017-01-27 03:00:00,-1.3536377782329465,0.7673500246123715,-1.101565087953383,0.0950365576156707,0.1027070304281109,1.1607747971424,1.1857530988002918,-0.0094509064259663,0.6464,night
2017-01-27 04:00:00,-1.4955395357701442,0.7113770384565596,-1.2476766968481243,-0.2300040668608297,0.109282451765789,1.0429225605061672,1.0878402778702652,-0.0913941003799017,0.6345,night
2017-01-27 05:00:00,-1.5842281342308928,0.7113770384565596,-1.3481284279632593,-0.3706932923805091,0.082980766415076,0.9152493041502484,0.9605536106612308,-0.3918524782109984,0.6441,night
2017-01-27 18:00:00,-0.9678423749286894,0.8792959969239951,-0.6860602001589619,0.4103744768839171,0.4742183360069319,0.8366811463927597,0.8822233539172096,0.1271210834972594,0.8618,night
2017-01-27 19:00:00,-0.9678423749286894,0.935268983079807,-0.6677962490471191,0.4152258294880443,0.5860004987474621,0.8956072647108761,0.9311797643822228,0.18174987946655,0.8653,night
