File,Bounds,Iterations,Agents,Best Params,Train RMSE,Test RMSE,Test R²
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",10,5,[5.00000000e+01 2.89773945e-04 2.87459972e-04],0.09750965345073802,0.09482978175654522,0.7859897694787429
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",10,10,[20.          0.08478302  1.12478747],0.061678553829962623,0.08154177987703953,0.8417639597368253
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",10,15,[3.12197966e-01 5.82903090e-05 1.45210594e+00],0.04642968951523875,0.09120159845994207,0.8020525402067022
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",10,20,[5.9296423  0.01199647 0.43976347],0.04708193776262221,0.10380589486544924,0.7435580527295724
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",25,5,[0.2247583  0.02097442 0.46043349],0.06395616881491935,0.08747216541161304,0.8179105482524842
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",25,10,[8.00000000e+00 1.05895429e-04 4.67353517e-01],0.045382191059898866,0.10575434714929256,0.7338407955124038
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",25,15,[1.43009396e+00 7.27288314e-05 6.48207399e-01],0.04829913334205006,0.09276989299626243,0.7951862336174159
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",25,20,[8.67489913 0.01118158 0.23154345],0.05682017966981491,0.08780497322077227,0.8165223106116358
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",30,5,[2.66666667e+01 1.68739200e-02 1.68727226e-02],0.0701426637167031,0.0766690087728582,0.8601106250811235
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",30,10,[1.00000000e+01 1.06209374e-04 2.33174212e-01],0.05606519430746647,0.08707287999849518,0.8195691266436694
