File,Bounds,Iterations,Agents,Best Params,Train RMSE,Test RMSE,Test R²
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",10,5,[3.00000000e+01 7.02994002e-05 7.02994002e-05],0.0893095324466029,0.08884178338201416,0.6704080352206487
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",10,10,[23.76520025  0.07074506  0.15855726],0.06379289834062582,0.048496018535580124,0.9017903304676135
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",10,15,[20.          0.07905123  2.        ],0.06071359893358023,0.055252325188320565,0.8725196644216033
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",10,20,[20.          0.05020258  0.21133743],0.060727731410603385,0.04127343440902983,0.9288650064153406
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",25,5,[2.23100171 0.11244499 0.09974305],0.07447462846392477,0.07259246130704868,0.7799480997857088
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",25,10,[8.         0.08       0.17393954],0.0649669998886041,0.0538209340612804,0.8790392304938643
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",25,15,[6.82604715e+00 7.57717774e-05 4.45722778e-02],0.07910618019972455,0.06737653470883126,0.8104344474659217
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",25,20,[12.          0.10134422  1.2       ],0.07107104214150278,0.069174908827887,0.8001798546781913
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",30,5,[2.01307057e+01 9.03199761e-05 9.12908313e-05],0.08864943158736259,0.08838679305987658,0.6737753055831377
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",30,10,[10.   0.1  1. ],0.06996962785810197,0.06956405759459518,0.7979253237738821
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",30,15,[10.          0.07287014  0.2079779 ],0.06432154190712082,0.050989756327442536,0.8914304712562545
Location2_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",30,20,[7.39898336e+00 1.15443937e-04 4.37918378e-02],0.07876877319245719,0.06713835257586338,0.8117723411756042
